"parent_customer_id"|"customer_id"
1041|1042
1004|1030
548|812
654|655
716|739
992|1037
661|1141
89|1204
627|757
104|459
104|616
548|807
852|857
796|805
553|551
1030|1036
627|664
89|1211
393|999
1035|1058
628|633
394|1003
653|686
89|1295
572|588
567|575
936|941
307|309
499|1155
855|856
567|578
201|380
89|1202
58|59
89|1213
225|842
1124|1125
856|858
591|1325
566|703
321|1274
444|453
300|909
30|62
1076|1081
209|751
778|780
986|1002
1043|1047
827|841
526|645
307|308
815|1096
872|1162
524|1327
553|535
856|890
286|295
625|1075
603|607
90|91
63|446
865|873
321|396
489|594
832|839
562|609
89|1224
520|590
533|541
567|568
566|712
104|725
852|863
394|1006
624|689
499|504
440|1246
572|595
222|254
654|694
16|1184
89|1203
303|316
104|521
854|875
159|164
1138|1139
920|925
406|471
232|241
164|169
447|448
653|693
977|1149
602|837
628|636
104|702
16|939
1014|1016
218|281
548|830
123|144
296|342
627|720
661|675
104|615
524|651
859|876
992|1022
526|650
348|350
89|1212
833|836
302|305
16|652
562|574
89|1205
218|221
30|81
896|922
517|644
447|582
16|530
406|475
218|381
394|1009
783|784
1102|1104
